symbol,entry_date,exit_date,entry_price,exit_price,return,exit_reason,group_id,highlight
ADBE,2015-10-08,2015-10-15,80.45,86.77,0.07855811062771889,take_profit,,False
IBM,2015-10-20,2015-11-12,88.75,83.641,-0.05756619718309852,stop_loss,4,True
NOW,2015-10-22,2015-10-23,72.31,78.89,0.09099709583736693,take_profit,2,True
AVGO,2015-10-27,2015-11-06,9.399,9.901,0.053409937227364646,take_profit,3,True
QCOM,2015-11-06,2015-11-18,38.77,36.044,-0.07031209698220287,stop_loss,5,True
AMD,2015-11-12,2015-11-20,2.05,2.22,0.08292682926829298,take_profit,6,True
QCOM,2015-11-19,2015-12-02,36.427,39.319,0.07939166003239362,take_profit,6,True
AMD,2015-12-03,2015-12-08,2.25,2.39,0.06222222222222218,take_profit,8,True
ADI,2015-12-04,2016-01-04,47.566,44.832,-0.057478030526005974,stop_loss,11,True
QCOM,2015-12-09,2015-12-14,37.643,35.512,-0.056610790850888604,stop_loss,9,True
AAPL,2015-12-14,2015-12-18,25.318,23.93,-0.05482265581799517,stop_loss,10,True
ACN,2015-12-18,2016-02-08,88.054,81.172,-0.07815658573148299,stop_loss,14,True
AAPL,2016-01-04,2016-01-07,23.158,21.768,-0.06002245444338894,stop_loss,12,True
AAPL,2016-01-07,2016-01-27,22.271,21.084,-0.053298010866148826,stop_loss,13,True
AAPL,2016-01-27,2016-03-01,21.675,22.811,0.0524106113033449,take_profit,14,True
AMD,2016-03-09,2016-03-11,2.32,2.52,0.0862068965517242,take_profit,,False
AMD,2016-03-11,2016-03-14,2.29,2.72,0.18777292576419224,take_profit,,False
AMD,2016-03-16,2016-03-17,2.5,2.8,0.11999999999999988,take_profit,,False
AMD,2016-03-22,2016-04-22,2.73,3.99,0.4615384615384617,take_profit,16,True
AVGO,2016-04-20,2016-05-03,11.639,11.004,-0.054557951714064745,stop_loss,17,True
MSFT,2016-04-22,2016-06-27,45.865,43.09,-0.060503652022239174,stop_loss,21,True
AAPL,2016-05-03,2016-05-25,21.375,22.743,0.06399999999999983,take_profit,18,True
AMD,2016-06-03,2016-06-06,4.16,4.47,0.07451923076923062,take_profit,19,True
AMD,2016-06-06,2016-06-07,4.2,4.51,0.07380952380952377,take_profit,20,True
NOW,2016-06-14,2016-06-27,72.51,63.67,-0.12191421872845132,stop_loss,21,True
ACN,2016-06-27,2016-07-12,95.125,100.435,0.055821287779237894,take_profit,24,True
ADBE,2016-06-27,2016-07-08,91.36,96.79,0.05943520140105085,take_profit,23,True
AMD,2016-07-08,2016-07-12,4.84,5.14,0.06198347107438007,take_profit,24,True
ADP,2016-08-01,2016-11-15,72.356,76.323,0.05482613743158815,take_profit,32,True
AMD,2016-08-02,2016-08-15,6.56,6.95,0.05945121951219523,take_profit,26,True
CRM,2016-08-17,2016-09-13,76.614,72.299,-0.05632129897929883,stop_loss,27,True
AMD,2016-09-13,2016-09-21,5.92,6.29,0.0625,take_profit,28,True
CRM,2016-09-26,2016-10-10,69.766,74.318,0.06524668176475634,take_profit,29,True
ADI,2016-10-13,2016-10-24,51.185,53.896,0.052964735762430326,take_profit,30,True
AMD,2016-10-24,2016-10-25,6.57,7.5,0.14155251141552516,take_profit,31,True
INTC,2016-10-25,2016-12-13,28.472,30.043,0.05517701601573477,take_profit,34,True
AVGO,2016-11-15,2016-11-22,12.745,13.687,0.0739113377795213,take_profit,33,True
CSCO,2016-11-22,2017-02-03,22.866,24.013,0.050161812297734754,take_profit,36,True
NVDA,2016-12-13,2016-12-14,2.219,2.375,0.07030193780982441,take_profit,35,True
ACN,2016-12-22,2017-03-01,102.839,108.074,0.050904812376627584,take_profit,39,True
ADP,2017-02-06,2017-02-23,80.388,84.512,0.05130118923222371,take_profit,37,True
NVDA,2017-02-24,2017-02-27,2.394,2.575,0.07560568086883879,take_profit,38,True
NVDA,2017-02-27,2017-03-20,2.52,2.699,0.071031746031746,take_profit,40,True
NOW,2017-03-01,2017-04-27,88.02,94.33,0.07168825266984769,take_profit,41,True
ACN,2017-03-27,2017-05-30,103.423,108.931,0.05325701246337844,take_profit,45,True
ADI,2017-05-01,2017-05-10,63.887,67.275,0.0530311330943698,take_profit,42,True
AMD,2017-05-17,2017-05-22,11.81,11.04,-0.06519898391193912,stop_loss,43,True
AMD,2017-05-22,2017-05-23,11.49,10.89,-0.05221932114882499,stop_loss,44,True
AMD,2017-05-23,2017-06-06,10.97,12.03,0.096627164995442,take_profit,46,True
ADI,2017-06-05,2017-07-03,68.961,65.156,-0.05517611403546918,stop_loss,47,True
AAPL,2017-06-12,2017-07-26,33.909,35.705,0.052965289451178066,take_profit,50,True
AMD,2017-07-03,2017-07-07,12.57,13.36,0.06284805091487655,take_profit,48,True
AMD,2017-07-14,2017-07-24,13.46,14.16,0.0520059435364042,take_profit,49,True
QCOM,2017-07-24,2017-09-05,43.032,40.498,-0.05888641011340401,stop_loss,53,True
AMD,2017-07-28,2017-08-04,13.85,13.12,-0.052707581227436906,stop_loss,51,True
AMAT,2017-08-04,2017-08-30,39.049,41.533,0.06361238444006245,take_profit,52,True
AVGO,2017-08-30,2017-10-27,18.95,19.92,0.05118733509234841,take_profit,55,True
AMD,2017-09-11,2017-09-19,12.46,13.12,0.052969502407704594,take_profit,54,True
ORCL,2017-09-19,2017-10-27,42.915,45.208,0.05343120121169753,take_profit,55,True
AMD,2017-10-27,2017-10-30,12.17,10.89,-0.10517666392769098,stop_loss,,False
AMD,2017-10-30,2017-11-06,11.26,11.93,0.05950266429840134,take_profit,57,True
QCOM,2017-11-01,2017-11-02,41.663,44.391,0.06547776204305977,take_profit,57,True
ADP,2017-11-07,2017-12-06,93.256,97.981,0.05066698121300495,take_profit,60,True
AMD,2017-11-09,2017-12-04,11.25,10.03,-0.10844444444444445,stop_loss,59,True
AMAT,2017-12-04,2018-01-08,47.633,51.165,0.07415027396972684,take_profit,63,True
ADBE,2017-12-06,2017-12-13,166.79,176.83,0.0601954553630315,take_profit,61,True
AMD,2017-12-26,2018-01-02,10.38,10.98,0.057803468208092346,take_profit,62,True
INTC,2018-01-04,2018-01-22,36.535,38.407,0.05123853838784731,take_profit,64,True
AMD,2018-01-10,2018-01-18,11.63,12.47,0.07222699914015474,take_profit,64,True
TXN,2018-01-24,2018-02-05,89.597,84.476,-0.057155931560208484,stop_loss,67,True
AVGO,2018-01-26,2018-02-02,19.777,18.671,-0.05592354755524098,stop_loss,66,True
AMAT,2018-02-02,2018-02-05,48.109,44.202,-0.08121141574341606,stop_loss,67,True
ADI,2018-02-05,2018-02-08,76.796,71.544,-0.06838897859263515,stop_loss,69,True
AAPL,2018-02-05,2018-02-14,37.296,39.395,0.05627949377949393,take_profit,70,True
ADI,2018-02-08,2018-02-23,74.019,78.198,0.05645847687755823,take_profit,71,True
QCOM,2018-02-20,2018-02-26,51.435,54.675,0.06299212598425186,take_profit,71,True
ADI,2018-03-02,2018-03-06,75.663,79.548,0.05134610047182919,take_profit,73,True
ACN,2018-03-02,2018-03-23,137.925,130.941,-0.050636215334420975,stop_loss,75,True
QCOM,2018-03-07,2018-03-19,50.625,48.056,-0.050745679012345724,stop_loss,74,True
AVGO,2018-03-19,2018-03-28,20.068,19.041,-0.05117600159457847,stop_loss,76,True
AAPL,2018-03-23,2018-04-17,39.635,41.953,0.05848366342878775,take_profit,77,True
ACN,2018-03-28,2018-05-10,133.011,140.335,0.055063115080707714,take_profit,78,True
IBM,2018-04-18,2018-05-02,104.161,97.527,-0.06368986472864124,stop_loss,78,True
NVDA,2018-05-16,2018-06-01,6.037,6.377,0.05631936392247794,take_profit,80,True
CSCO,2018-05-17,2018-08-16,34.487,36.391,0.05520920926726003,take_profit,86,True
AMD,2018-06-08,2018-06-11,14.52,15.73,0.08333333333333348,take_profit,81,True
AMAT,2018-06-12,2018-06-25,46.079,42.987,-0.06710215065431102,stop_loss,82,True
ADBE,2018-06-25,2018-07-12,240.15,254.87,0.06129502394336872,take_profit,83,True
AVGO,2018-07-12,2018-07-25,16.883,18.424,0.09127524729017367,take_profit,84,True
AMAT,2018-07-25,2018-07-27,42.14,44.45,0.054817275747508276,take_profit,85,True
INTC,2018-07-27,2018-09-11,41.449,38.426,-0.07293300200246078,stop_loss,88,True
AMAT,2018-08-17,2018-09-06,41.201,37.23,-0.09638115579718942,stop_loss,87,True
AMAT,2018-09-07,2018-10-04,36.981,35.03,-0.05275682107027935,stop_loss,89,True
ADI,2018-09-12,2018-10-05,80.876,76.529,-0.05374894900835858,stop_loss,90,True
AMD,2018-10-04,2018-10-08,27.99,26.46,-0.05466237942122176,stop_loss,90,True
AMD,2018-10-08,2018-10-10,26.73,25.0,-0.0647212869435092,stop_loss,92,True
ADI,2018-10-08,2018-10-19,76.213,72.305,-0.051277341136026444,stop_loss,94,True
ADBE,2018-10-10,2018-10-11,252.52,238.59,-0.05516394741010611,stop_loss,93,True
AAPL,2018-10-11,2018-11-05,50.865,47.799,-0.06027720436449424,stop_loss,97,True
IBM,2018-10-19,2018-10-29,91.418,83.714,-0.08427224397821009,stop_loss,95,True
AMD,2018-10-29,2018-10-30,18.21,17.2,-0.05546403075233397,stop_loss,96,True
ADBE,2018-10-30,2018-11-07,238.99,253.43,0.0604209381145655,take_profit,98,True
AAPL,2018-11-05,2018-11-13,48.442,45.739,-0.05579868708971558,stop_loss,100,True
QCOM,2018-11-08,2018-11-12,48.69,45.743,-0.06052577531320591,stop_loss,99,True
AMD,2018-11-12,2018-11-13,20.68,19.61,-0.05174081237911021,stop_loss,100,True
AAPL,2018-11-13,2018-11-20,45.596,42.11,-0.07645407491885248,stop_loss,103,True
ADBE,2018-11-13,2018-11-19,238.38,219.69,-0.07840422854266293,stop_loss,102,True
AMD,2018-11-19,2018-11-20,20.4,19.21,-0.05833333333333324,stop_loss,103,True
AAPL,2018-11-20,2018-12-07,42.441,40.09,-0.055394547725077126,stop_loss,107,True
ADBE,2018-11-20,2018-11-21,209.41,225.98,0.07912707129554453,take_profit,105,True
ADBE,2018-11-21,2018-11-28,225.33,249.21,0.10597789908134736,take_profit,106,True
ADBE,2018-12-06,2018-12-17,240.0,221.38,-0.07758333333333334,stop_loss,108,True
AAPL,2018-12-07,2018-12-17,41.28,39.008,-0.055038759689922445,stop_loss,108,True
ADBE,2018-12-17,2018-12-21,226.93,208.8,-0.07989247785660769,stop_loss,111,True
AMD,2018-12-18,2018-12-19,19.15,18.16,-0.05169712793733672,stop_loss,110,True
ADP,2018-12-19,2018-12-24,112.752,105.835,-0.06134702710373208,stop_loss,112,True
AAPL,2018-12-21,2018-12-24,37.323,34.936,-0.06395520188623638,stop_loss,112,True
AAPL,2018-12-24,2018-12-26,35.251,37.397,0.06087770559700445,take_profit,114,True
ACN,2018-12-24,2019-01-08,123.56,131.304,0.06267400453221117,take_profit,117,True
AAPL,2018-12-26,2018-12-27,35.286,37.154,0.052938842600464886,take_profit,115,True
IBM,2018-12-27,2019-01-04,77.942,83.136,0.06663929588668505,take_profit,116,True
