symbol,entry_date,exit_date,entry_price,exit_price,return,exit_reason,group_id,highlight
ADBE,2018-12-06,2018-12-17,240.0,221.38,-0.07758333333333334,stop_loss,69,True
AAPL,2018-12-07,2018-12-17,41.28,39.008,-0.055038759689922445,stop_loss,69,True
ADBE,2018-12-17,2018-12-21,226.93,208.8,-0.07989247785660769,stop_loss,72,True
AMD,2018-12-18,2018-12-19,19.15,18.16,-0.05169712793733672,stop_loss,71,True
ADP,2018-12-19,2018-12-24,112.752,105.835,-0.06134702710373208,stop_loss,73,True
AAPL,2018-12-21,2018-12-24,37.323,34.936,-0.06395520188623638,stop_loss,73,True
ACN,2018-12-24,2019-01-18,123.56,136.108,0.10155390093881511,take_profit,75,True
AAPL,2018-12-24,2019-01-30,35.251,39.319,0.11540098153243905,take_profit,77,True
QCOM,2019-01-23,2019-01-29,44.907,41.92,-0.06651524261251018,stop_loss,76,True
AMD,2019-01-29,2019-01-30,20.26,23.09,0.13968410661401776,take_profit,77,True
NVDA,2019-01-30,2019-02-04,3.339,3.699,0.10781671159029638,take_profit,79,True
INTC,2019-01-30,2019-02-15,40.174,44.742,0.11370538159008303,take_profit,80,True
AMD,2019-02-07,2019-03-19,22.99,26.0,0.13092648977816457,take_profit,81,True
CRM,2019-03-07,2019-06-03,154.465,143.59,-0.07040429870844522,stop_loss,84,True
AMD,2019-03-25,2019-03-27,26.29,24.89,-0.05325218714340052,stop_loss,82,True
AMD,2019-03-27,2019-04-03,25.7,29.02,0.1291828793774319,take_profit,83,True
AMD,2019-04-10,2019-06-06,27.46,31.82,0.15877640203932986,take_profit,85,True
NVDA,2019-06-03,2019-06-11,3.377,3.746,0.10926858158128527,take_profit,85,True
CRM,2019-06-12,2019-08-05,149.537,141.333,-0.054862676126978704,stop_loss,88,True
AMAT,2019-06-14,2019-07-01,38.472,42.905,0.11522665834892898,take_profit,87,True
AVGO,2019-07-03,2019-08-05,23.988,22.632,-0.05652826413206591,stop_loss,88,True
ADBE,2019-08-05,2019-10-02,285.04,266.66,-0.06448217793993827,stop_loss,91,True
AAPL,2019-08-05,2019-09-11,47.494,53.838,0.1335747673390324,take_profit,90,True
ACN,2019-09-11,2019-12-19,173.311,190.82,0.10102647841164147,take_profit,94,True
AMAT,2019-10-02,2019-10-24,46.58,51.958,0.11545727780163162,take_profit,92,True
NOW,2019-10-24,2019-11-18,236.56,266.31,0.12576090632397707,take_profit,93,True
CSCO,2019-11-18,2020-02-11,37.522,41.286,0.10031448217046002,take_profit,95,True
ORCL,2019-12-19,2020-02-28,48.941,45.617,-0.06791851412925776,stop_loss,98,True
CSCO,2020-02-13,2020-02-24,39.622,36.975,-0.06680631972136686,stop_loss,96,True
